shubham,swapnil,shree,Abhishek,umesh,sudip,atharva,arpit,Anish
Tujha aai chi gand,aand,,aaizhavdaya,land,☪️hutiya,✊,aandu,Maa ki chut
bhenchodd ,aandpav,,zhatu,lund,☪️hu✝️iya,👉👌,andhu,maa ki chut
Gandmara,aandhbhakt,,jhatu,condom,cond🕉️,👌👈,anduu,Law दा 
zhavadaya,Bhosdike,,jhaatu,candam,☪️ondom,🖕,@ndu,Gandu
bitch ,Bhosadike,,jaatu,sex,hizra,💦,@@nd,gandu
Nicha,Bhosda,,phodri,s@x,mulli,✊💦,@@ndbhaat,g@ndu
Dalinder,Bho*da,,lavdya,phakhand,,Chytiye,@@ndbhat,maa chudae
bsdk,Bhos*,,❤️da,fakand,,रंडिरोना,moot,maa chudaye
,Bho*dike,,❤️dya,lankan,,रंडि,muth,
,Bhos*ike,, ❤️du,lanka,,Randirona,muut,
,Bh@sdike,,l@ndu,madharchod,,idiot,muthi,
,Chutiya,,aizhavadaya,madhrchod,,Qurand,m@dar,
,Chutya,,aijhavadya,MKC,,shitty,m@d@r,
,Choda,,chutad,chood,,shit,mdarchod,
,Ch@da,,zandu ,kolonk,,Chuslims,madarchod,
,Chuda,,zhatu ,chot,,Terrorist,mchod,
,chxda,,yedzhavya,gandi,, jeettarded,mdrchd,
,Cancer,,yedzhava,randi,,retard,mawdarchod,
,Land,,yedhzhava,bhenkilaudi,,illiterate,madaarchud,
,Lund,,yedhjhava,khod,,Bull💩,kalank,
,L@nd,,y3D#j#@v@,☪hu✝lus,,💩,kolank,
,Landu,,land,betichod,,f-k,kolonk,
,Landi,,lun,xhudao,,mental,susuu,
,Lawda,,j#atu,Man ki chut,,satan,meowdarchod,
,L@wda,,z#atu,land buddha,,pigs,susu ,
,Loda,,raan,fuck,,Moot,soosu,
,Lode,,raaan,xxx,,ass,salla,
,Lawdenabhojyam,,rabdi,maachudi,,Cancer,saale,
,lavda,,urine,maa kalund,,,suu,
,l@vda,,suuu,hizada,,,saala,
,lulli,,abe,chutya,,,saalo,
,lulla,,bhadvi,behan ke laudeee,,,saali,
,mkc,,lodi,libranduuu,,,sali,
,tmkc,,lori,lodu,,,s@li,
,bkl,,kutra,madrcd,,,s@la,
,bhenchod,,kutri,chinal,,,$aala,
,behenchod,,kutachod,hijde,,,mkc,
,betichod,,kutichod,lodey,,,mkcc,
,bhench@d,,tmkc,ra#di,,,mkc.,
,behench@d,,tmkb,gaand,,,tmkoc,
,behench*d,,pkmkc,madarc**d,,,makichu,
,bhench*d,,pkmb,bsdwale,,,maakichuu,
,betich@d,,luli,raaand,,,jhaat,
,betich*d,,lula,lindu,,,jhaatu,
,,,katiluli,,,,jhat,
,,,mula,,,,jhaaat,
,,,muli,,,,jhaaaat,
,,,mulla,,,,pedo,
,,,mulaa,,,,pdfile,
,,,katwa,,,,pdophile,
,,,katwi,,,,fuckjesus,
,,,hizabi,,,,rawand,
,,,khangress,,,,rawnd,
,,,bjphatilulikati,,,,raadn,
,,,gayram,,,,rawndd,
,,,ramgay,,,,raaaaand,
,,,allahbox,,,,raaand,
,,,g@y,,,,madharchod,
,,,chutmarika,,,,madhar ,
,,,chutmariki,,,,maadhar,
,,,ch@t,,,,mdhar,
,,,rap,,,,mdharchod,
,,,rap#,,,,motherchod,
,,,rap3,,,,matherchod,
,,,rap.,,,,m@dherchod,
,,,"rap,",,,,madherchod,
,,,condom,,,,madercod,
,,,☪️ondom,,,,madarcod,
,,,bharwe,,,,madarchoidd,
,,,gandu ,,,,madarchodd,
,,,gandwi,,,,madharchud,
,,,chinal,,,,mdhaarchud,
,,,chinar,,,,madherchud,
,,,chinnar,,,,bhadwe,
,,,chhinal,,,,bhadwa,
,,,chus,,,,bhadwi,
,,,chusad,,,,bhadwo,
,,,☪️,,,,bhadweee,
,,,,,,,bharwe,
,,,,,,,bhrwe,
,,,,,,,bhdwe,
,,,,,,,bhadwey,
,,,,,,,bhaadu,
,,,,,,,bharwey,
,,,,,,,bhodwe,
,,,,,,,bhadwee ,
,,,,,,,bhodu,
,,,,,,,fatherchod,
,,,,,,,brotherchod,
,,,,,,,chachuchod,
,,,,,,,chachichod,
